date,pair,open,high,low,close,year
2025-01-06,USDEGP,41.7375,41.782,41.619,41.68194802717823,2025
2023-03-21,USDKES,140.2559,140.507,140.061,140.12649824482546,2023
2023-09-27,USDZAR,17.4064,17.4378,17.3391,17.416899423292893,2023
2023-03-20,USDKES,139.6637,139.8529,139.5842,139.77494801480213,2023
2023-05-22,USDNGN,561.4599,562.925,560.2615,562.3367090043039,2023
2025-04-22,USDKES,143.5731,143.6382,143.3468,143.51622958187235,2025
2023-04-25,USDEGP,33.0989,33.1897,32.9783,33.12206313519984,2023
2024-11-13,USDKES,151.8262,152.1558,151.1329,151.7308419896259,2024
2025-04-09,USDZAR,26.7939,26.8437,26.7713,26.785851448261205,2025
2023-07-07,USDEGP,30.8562,30.915,30.7489,30.83487577498799,2023
2025-12-12,USDNGN,1783.0867,1784.998,1775.1458,1782.329559557581,2025
2023-11-20,USDZAR,16.655,16.6801,16.6257,16.64265763307418,2023
2023-07-12,USDEGP,31.0622,31.1423,31.0331,31.048100830919406,2023
2024-01-19,USDNGN,785.1078,787.0474,784.3768,785.3471317853044,2024
2025-06-10,USD/EGP,56.7605,57.0136,56.6534,56.67668599466971,2025
2025-02-19,USDKES,153.4659,153.9631,152.6969,153.3907,2025
2024-05-27,USDKES,147.1522,147.3271,147.0662,147.16413555791735,2024
2025-06-20,USDZAR,26.2989,26.3714,26.2253,26.319247868436925,2025
2023-07-14,USDEGP,31.3344,31.3932,31.2833,31.30817139820373,2023
2024-12-04,USDZAR,23.4365,23.4826,23.4188,23.432206234107237,2024
2025-12-05,USD/EGP,59.2053,59.2148,59.0302,59.17101035236836,2025
2023-08-09,USDNGN,619.302,619.8512,618.0957,619.0979,2023
2024-10-15,USDZAR,20.3434,20.3882,20.3058,20.355372788790024,2024
2023-12-05,USD/EGP,32.4236,32.5227,32.2531,32.41220785972957,2023
2024-04-22,USDEGP,36.0965,36.1174,35.9808,36.084694335234495,2024
2023-09-05,USDNGN,607.9617,608.3734,606.7882,608.0467921053656,2023
2024-06-28,USDZAR,19.3339,19.3517,19.3075,19.33096385637795,2024
2023-10-11,USDNGN,690.9913,691.3666,689.7068,690.4309111994362,2023
2024-07-12,USDZAR,19.7866,19.8308,19.7126,19.78198358180208,2024
2024-04-16,USDKES,143.0604,143.2201,142.8599,143.20755300253282,2024
2025-10-02,USDNGN,1509.5547,1516.9034,1507.7668,1510.9065243548498,2025
2025-03-11,USDEGP,52.925,53.0304,52.8569,52.94292951991163,2025
2023-11-16,USDZAR,15.9381,15.9958,15.9246,15.936344737609323,2023
2025-04-16,USDNGN,1484.8197,1489.2587,1482.7436,1484.224426378953,2025
2025-12-11,USDKES,139.0617,139.5909,138.6585,138.8352811771587,2025
2023-05-08,USDKES,136.9632,137.3878,136.7959,136.86445998184877,2023
2023-07-31,USDEGP,31.8404,31.8683,31.7487,31.8215014851402,2023
2024-09-19,USDKES,148.6947,148.8343,148.4202,148.53504668108076,2024
2025-03-17,USDZAR,23.7472,23.7932,23.6598,23.759021808473193,2025
2024-12-25,USDEGP,43.0712,43.0996,42.9943,43.023380171972164,2024
2023-02-02,USDZAR,16.5063,16.5185,16.4985,16.50804510003446,2023
2025-11-12,USDKES,149.0344,149.5267,149.0099,149.1958734829869,2025
2025-05-23,USDKES,143.9978,144.393,143.7063,144.0364491013519,2025
2023-02-27,USDKES,129.12,129.5828,128.9458,129.28685750721786,2023
2023-10-30,USDNGN,697.8608,698.7519,697.3833,697.5902667801149,2023
2023-11-15,USDEGP,31.0359,31.1143,31.0184,31.0317,2023
2024-02-13,USDEGP,35.2679,35.3343,35.2066,35.31594210261383,2024
2025-03-21,USDKES,146.0625,146.4009,145.8242,145.89981335972382,2025
2023-09-28,USDZAR,17.4476,17.5056,17.4415,17.45085738424423,2023
2025-11-21,USDNGN,1741.4393,1746.3898,1739.2435,1739.8490718805201,2025
2023-04-12,USDNGN,572.5228,574.0149,572.1739,572.8221950597979,2023
2025-07-08,USDKES,150.4336,150.4827,149.9581,150.30618971528423,2025
2025-08-11,USDNGN,1547.0626,1548.6265,1545.4963,1547.2648196891626,2025
2024-08-09,USDZAR,19.7776,19.7813,19.7711,19.771518987033225,2024
2024-07-04,USDZAR,19.0925,19.1301,19.0426,19.12002510312179,2024
2024-07-09,USDKES,149.1017,149.3867,148.7325,149.18701151912265,2024
2024-05-14,USDKES,144.7756,144.9387,144.6656,144.7980742169948,2024
2024-04-18,USDKES,143.9765,144.1833,143.5037,143.85066153565796,2024
2023-04-03,USDZAR,18.311,18.3324,18.2162,18.32375999273504,2023
2025-11-04,USDZAR,25.7938,25.8321,25.715,25.758134927912213,2025
